win_overlap,model,cv_score,std_cv_score,var_cv_score
1s_no,LogisticRegression,63.27,7.03,0.49
1s_no,DecisionTreeClassifier,58.12,7.26,0.53
1s_no,RandomForestClassifier,66.93,6.28,0.39
1s_no,XGBClassifier,65.27,8.34,0.7
1s_0.5,LogisticRegression,63.53,8.65,0.75
1s_0.5,DecisionTreeClassifier,59.59,6.86,0.47
1s_0.5,RandomForestClassifier,65.35,10.16,1.03
1s_0.5,XGBClassifier,63.74,8.44,0.71
1s_0.8,LogisticRegression,64.41,7.54,0.57
1s_0.8,DecisionTreeClassifier,57.34,6.04,0.36
1s_0.8,RandomForestClassifier,64.79,10.07,1.01
1s_0.8,XGBClassifier,62.25,10.56,1.11
2s_no,LogisticRegression,65.87,10.99,1.21
2s_no,DecisionTreeClassifier,61.28,7.43,0.55
2s_no,RandomForestClassifier,69.34,12.36,1.53
2s_no,XGBClassifier,66.87,9.72,0.95
2s_0.5,LogisticRegression,62.45,6.54,0.43
2s_0.5,DecisionTreeClassifier,59.37,7.48,0.56
2s_0.5,RandomForestClassifier,68.79,6.03,0.36
2s_0.5,XGBClassifier,65.67,7.67,0.59
2s_0.8,LogisticRegression,62.94,8.14,0.66
2s_0.8,DecisionTreeClassifier,59.64,6.68,0.45
2s_0.8,RandomForestClassifier,65.76,9.83,0.97
2s_0.8,XGBClassifier,64.62,12.04,1.45
3s_no,LogisticRegression,65.97,5.91,0.35
3s_no,DecisionTreeClassifier,59.88,8.7,0.76
3s_no,RandomForestClassifier,72.28,10.17,1.03
3s_no,XGBClassifier,64.24,11.4,1.3
3s_0.5,LogisticRegression,63.29,8.51,0.72
3s_0.5,DecisionTreeClassifier,62.66,7.8,0.61
3s_0.5,RandomForestClassifier,68.0,9.53,0.91
3s_0.5,XGBClassifier,67.15,9.62,0.93
3s_0.8,LogisticRegression,64.52,9.45,0.89
3s_0.8,DecisionTreeClassifier,56.73,10.37,1.08
3s_0.8,RandomForestClassifier,68.54,11.64,1.36
3s_0.8,XGBClassifier,63.52,13.04,1.7
4s_no,LogisticRegression,62.22,10.04,1.01
4s_no,DecisionTreeClassifier,60.53,9.65,0.93
4s_no,RandomForestClassifier,68.99,10.59,1.12
4s_no,XGBClassifier,64.4,10.84,1.18
4s_0.5,LogisticRegression,65.93,11.2,1.25
4s_0.5,DecisionTreeClassifier,59.65,8.12,0.66
4s_0.5,RandomForestClassifier,68.49,11.93,1.42
4s_0.5,XGBClassifier,65.67,8.91,0.79
4s_0.8,LogisticRegression,64.21,6.89,0.47
4s_0.8,DecisionTreeClassifier,57.49,8.96,0.8
4s_0.8,RandomForestClassifier,67.42,7.67,0.59
4s_0.8,XGBClassifier,63.43,11.49,1.32
5s_no,LogisticRegression,67.04,10.41,1.08
5s_no,DecisionTreeClassifier,62.52,9.45,0.89
5s_no,RandomForestClassifier,70.78,10.95,1.2
5s_no,XGBClassifier,66.63,7.31,0.53
5s_0.5,LogisticRegression,64.59,9.04,0.82
5s_0.5,DecisionTreeClassifier,64.13,8.97,0.8
5s_0.5,RandomForestClassifier,70.35,9.19,0.84
5s_0.5,XGBClassifier,64.78,8.37,0.7
5s_0.8,LogisticRegression,64.26,10.3,1.06
5s_0.8,DecisionTreeClassifier,57.61,5.98,0.36
5s_0.8,RandomForestClassifier,68.17,9.82,0.96
5s_0.8,XGBClassifier,66.09,8.36,0.7
