Dataset,Model,Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Macro Precision (avg),Macro Precision (std),Macro Precision (avg:std),Macro Recall (avg),Macro Recall (std),Macro Recall (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std),Weighted Precision (avg),Weighted Precision (std),Weighted Precision (avg:std),Weighted Recall (avg),Weighted Recall (std),Weighted Recall (avg:std),Precision Pre-Void (avg),Precision Pre-Void (std),Precision Pre-Void (avg:std),Recall Pre-Void (avg),Recall Pre-Void (std),Recall Pre-Void (avg:std),F1-Score Pre-Void (avg),F1-Score Pre-Void (std),F1-Score Pre-Void (avg:std),Precision Void (avg),Precision Void (std),Precision Void (avg:std),Recall Void (avg),Recall Void (std),Recall Void (avg/std),F1-Score Void (avg),F1-Score Void (std),F1-Score Void (avg:std),Precision Post-Void (avg),Precision Post-Void (std),Precision Post-Void (avg:std),Recall Post-Void (avg),Recall Post-Void (std),Recall Post-Void (avg:std),F1-Score Post-Void (avg),F1-Score Post-Void (std),F1-Score Post-Void (avg:std)
5s_no,XGBoost,0.78163,0.04482,17.43819,0.7809,0.04971,15.7088,0.79366,0.0558,14.22268,0.78338,0.04733,16.55303,0.77936,0.04719,16.51427,0.79189,0.04897,16.17067,0.78163,0.04482,17.43819,0.79711,0.11399,6.99265,0.73682,0.14491,5.0847,0.75582,0.09665,7.81996,0.77013,0.05769,13.34917,0.76693,0.10424,7.35732,0.76129,0.04387,17.35276,0.81374,0.08321,9.77937,0.84639,0.04687,18.059,0.82559,0.03515,23.4872
3s_no,XGBoost,0.7614,0.04673,16.29269,0.76034,0.04894,15.5366,0.76425,0.04455,17.15519,0.7643,0.04994,15.30336,0.7605,0.04631,16.42212,0.76725,0.04184,18.3388,0.7614,0.04673,16.29269,0.74741,0.0704,10.61715,0.72226,0.10921,6.61356,0.72923,0.07404,9.84944,0.75498,0.06251,12.07857,0.72433,0.03107,23.31281,0.73703,0.0283,26.04395,0.79037,0.09008,8.77391,0.84629,0.0626,13.51973,0.81476,0.06513,12.50927
5s_0.5,XGBoost,0.75114,0.0919,8.17337,0.74412,0.08975,8.29066,0.76236,0.09514,8.01275,0.7427,0.08339,8.9066,0.74997,0.09226,8.1288,0.76508,0.08976,8.52366,0.75114,0.0919,8.17337,0.74105,0.13227,5.60259,0.63674,0.10842,5.87293,0.67745,0.09864,6.86765,0.73539,0.09535,7.71265,0.78376,0.12469,6.28578,0.75293,0.09199,8.18468,0.81064,0.14681,5.52154,0.80761,0.11515,7.01331,0.80199,0.10894,7.362
3s_no,Random Forest,0.75041,0.03309,22.67925,0.74747,0.03465,21.57112,0.75334,0.03385,22.25512,0.74701,0.03488,21.41883,0.74928,0.03241,23.12158,0.75333,0.03057,24.64337,0.75041,0.03309,22.67925,0.75057,0.06601,11.36998,0.67895,0.09544,7.11359,0.70974,0.06993,10.14885,0.72646,0.05451,13.32828,0.75655,0.06013,12.58245,0.74,0.04937,14.98937,0.78299,0.07059,11.09226,0.80552,0.06247,12.89521,0.79267,0.05778,13.71867
5s_0.8,XGBoost,0.74494,0.07852,9.48701,0.73866,0.08547,8.64196,0.75245,0.08606,8.74347,0.74093,0.08545,8.67134,0.74238,0.08039,9.23491,0.75406,0.08225,9.16783,0.74494,0.07852,9.48701,0.75304,0.12763,5.89997,0.68895,0.15384,4.47838,0.70846,0.11389,6.22029,0.74627,0.05265,14.17298,0.7273,0.09084,8.00664,0.7345,0.0658,11.16188,0.75803,0.15069,5.03049,0.80654,0.12962,6.22238,0.77303,0.11159,6.92716
1s_no,Random Forest,0.74305,0.04802,15.47315,0.73888,0.05186,14.24803,0.74679,0.05245,14.23933,0.74085,0.04919,15.06239,0.73963,0.05084,14.54909,0.74697,0.05112,14.61348,0.74305,0.04802,15.47315,0.73028,0.05194,14.05997,0.69189,0.09226,7.49923,0.70895,0.07191,9.85852,0.72518,0.03458,20.96877,0.70732,0.11674,6.05882,0.70953,0.06008,11.80999,0.78492,0.09152,8.57609,0.82335,0.08463,9.7289,0.79815,0.05398,14.78688
5s_0.5,Random Forest,0.74281,0.04797,15.48548,0.7356,0.04531,16.23644,0.74805,0.05474,13.66613,0.73599,0.04228,17.40729,0.74217,0.04939,15.02729,0.75293,0.05148,14.62473,0.74281,0.04797,15.48548,0.72568,0.14174,5.11995,0.64928,0.10606,6.12171,0.67417,0.07405,9.10365,0.73023,0.06481,11.26751,0.76173,0.07042,10.81671,0.74277,0.05331,13.93368,0.78823,0.09601,8.20959,0.79696,0.07726,10.31542,0.78987,0.0737,10.71727
4s_no,XGBoost,0.742,0.05828,12.73129,0.74223,0.06022,12.32444,0.74863,0.0546,13.71214,0.7428,0.06411,11.58644,0.74055,0.05781,12.81105,0.74537,0.05541,13.45134,0.742,0.05828,12.73129,0.78506,0.05463,14.37036,0.70399,0.10661,6.6031,0.73851,0.07095,10.40834,0.71285,0.06584,10.82635,0.7084,0.04271,16.58644,0.70879,0.04354,16.27988,0.74799,0.085,8.79982,0.81602,0.1115,7.31844,0.77939,0.09207,8.46537
2s_0.5,XGBoost,0.74152,0.06848,10.82806,0.73799,0.06836,10.79612,0.75478,0.07328,10.30046,0.74299,0.06803,10.92187,0.73827,0.07049,10.474,0.75589,0.07284,10.3768,0.74152,0.06848,10.82806,0.74825,0.11838,6.32065,0.69048,0.15437,4.47303,0.70234,0.08946,7.85092,0.73292,0.09216,7.95312,0.70875,0.12619,5.6165,0.71145,0.07225,9.84678,0.78316,0.10455,7.49101,0.82973,0.07402,11.21004,0.80016,0.0639,12.52241
1s_0.5,XGBoost,0.74065,0.04723,15.68161,0.73742,0.04592,16.05733,0.74379,0.03653,20.36097,0.74525,0.05314,14.02444,0.73775,0.05025,14.68131,0.74832,0.04971,15.05297,0.74065,0.04723,15.68161,0.72989,0.06349,11.49638,0.72292,0.11766,6.14406,0.71562,0.04478,15.98039,0.73547,0.06884,10.6843,0.66117,0.08378,7.89212,0.69313,0.06419,10.79877,0.766,0.10011,7.65157,0.85165,0.06384,13.34099,0.80352,0.07075,11.35689
