Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
5s_0.8,XGBoost,TomekLinks,0.73128,0.08828,8.28333,0.7371,0.13536,5.44535,0.76605,0.07461,10.26677,0.76146,0.07592,10.03009,0.76502,0.07654,9.99468
5s_no,XGBoost,SMOTE,0.72991,0.07287,10.01627,0.76391,0.1492,5.1199,0.76796,0.05616,13.67412,0.76211,0.05808,13.12073,0.7666,0.0577,13.28615
5s_no,XGBoost,TomekLinks,0.72875,0.08485,8.58879,0.78533,0.15822,4.96362,0.75983,0.07032,10.80547,0.75544,0.07178,10.52408,0.75908,0.07164,10.59525
2s_no,XGBoost,SMOTE,0.72226,0.05416,13.33631,0.72029,0.11351,6.34554,0.77777,0.03819,20.36375,0.76797,0.04064,18.89553,0.77613,0.03958,19.60978
2s_no,XGBoost,TomekLinks,0.72092,0.05932,12.15329,0.72084,0.10474,6.88217,0.77526,0.04474,17.32711,0.76598,0.04691,16.32918,0.77404,0.04614,16.77656
5s_0.8,XGBoost,SMOTETomek,0.71654,0.05738,12.4868,0.70688,0.0963,7.34026,0.75664,0.04787,15.80522,0.75093,0.04838,15.52027,0.75531,0.04954,15.24512
5s_no,XGBoost,SMOTETomek,0.71652,0.1014,7.06629,0.76364,0.17775,4.29609,0.75627,0.07172,10.54482,0.75005,0.07686,9.75906,0.75461,0.07497,10.06608
3s_no,XGBoost,SMOTE,0.71628,0.01777,40.30872,0.6992,0.03379,20.68966,0.76783,0.0209,36.73611,0.75978,0.01949,38.9776,0.76694,0.02145,35.76153
5s_0.8,Random Forest,TomekLinks,0.71163,0.10796,6.59182,0.70837,0.17192,4.12033,0.76054,0.06662,11.41639,0.75219,0.07568,9.93966,0.75608,0.07525,10.04702
4s_0.8,XGBoost,Baseline (none),0.71152,0.07352,9.6774,0.70116,0.12941,5.41801,0.76057,0.05162,14.73469,0.75282,0.05598,13.44717,0.75759,0.05557,13.63238
3s_0.8,Random Forest,SMOTETomek,0.71017,0.07657,9.27413,0.66081,0.10952,6.03383,0.77375,0.06164,12.55226,0.76189,0.06354,11.99009,0.76944,0.06432,11.96286
3s_0.8,XGBoost,Baseline (none),0.70929,0.06517,10.88398,0.67911,0.09065,7.49152,0.76572,0.05389,14.20954,0.7565,0.05552,13.62599,0.76353,0.0556,13.73297
5s_0.8,XGBoost,SMOTE,0.7085,0.05659,12.51913,0.6936,0.09408,7.37227,0.75157,0.04684,16.04683,0.74534,0.04734,15.74547,0.74994,0.0489,15.33652
5s_0.8,XGBoost,Baseline (none),0.70831,0.10015,7.07257,0.69061,0.13137,5.25709,0.75375,0.08254,9.13239,0.74726,0.08483,8.80916,0.75157,0.08597,8.74239
3s_no,Random Forest,Baseline (none),0.70778,0.03789,18.68045,0.68343,0.05372,12.72178,0.76295,0.0401,19.02425,0.75385,0.0385,19.57835,0.76115,0.03885,19.59427
1s_no,XGBoost,SMOTETomek,0.70617,0.04857,14.53809,0.70615,0.08823,8.00358,0.76223,0.04333,17.59186,0.75233,0.04243,17.73166,0.76114,0.04392,17.33141
5s_no,Random Forest,TomekLinks,0.70507,0.0814,8.66193,0.74717,0.11551,6.46842,0.73681,0.08499,8.66895,0.73253,0.08323,8.80104,0.73708,0.08477,8.69481
4s_0.8,XGBoost,TomekLinks,0.70506,0.07228,9.75393,0.70477,0.12954,5.44055,0.7515,0.0518,14.50756,0.74486,0.05573,13.36667,0.74949,0.05545,13.51639
4s_0.8,XGBoost,SMOTETomek,0.70458,0.07696,9.15562,0.69776,0.11925,5.85129,0.7522,0.05834,12.89314,0.74531,0.06167,12.08625,0.75033,0.06091,12.31857
1s_no,XGBoost,SMOTE,0.70451,0.05206,13.53281,0.70234,0.0899,7.81205,0.76107,0.04713,16.14974,0.75103,0.04597,16.33671,0.75982,0.04751,15.99338
2s_no,Random Forest,SMOTE,0.70407,0.0568,12.39551,0.69497,0.13345,5.20761,0.76885,0.02689,28.59496,0.75617,0.03366,22.46362,0.76565,0.03107,24.64601
3s_0.5,Random Forest,SMOTE,0.70387,0.0765,9.20148,0.69088,0.08907,7.75626,0.75643,0.06077,12.44639,0.74806,0.06335,11.80923,0.75496,0.06158,12.26042
3s_0.5,XGBoost,TomekLinks,0.70359,0.04134,17.02033,0.68119,0.03665,18.58604,0.75715,0.03997,18.9428,0.74869,0.03896,19.21861,0.75593,0.03958,19.09648
1s_0.8,XGBoost,TomekLinks,0.70357,0.04802,14.65027,0.68215,0.07521,9.06967,0.76469,0.04825,15.84804,0.7524,0.04407,17.07399,0.76239,0.04754,16.03674
