Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
5s_0.5,XGBoost,TomekLinks,0.75196,0.0972,7.73583,0.77273,0.15699,4.92217,0.79319,0.08326,9.52664,0.78379,0.08343,9.39403,0.7912,0.08654,9.14293
3s_no,XGBoost,SMOTE,0.74329,0.09842,7.55198,0.73698,0.14569,5.0584,0.79468,0.077,10.32112,0.7836,0.07958,9.84706,0.79325,0.0788,10.06635
5s_0.5,XGBoost,SMOTETomek,0.74287,0.11208,6.62783,0.76355,0.15715,4.85861,0.7851,0.09518,8.24843,0.77712,0.09647,8.05533,0.78438,0.0982,7.98798
5s_0.8,XGBoost,SMOTETomek,0.74235,0.09812,7.5654,0.75022,0.13711,5.47166,0.77306,0.08654,8.93303,0.76711,0.08706,8.81168,0.7722,0.08862,8.71367
5s_no,XGBoost,SMOTETomek,0.74091,0.14305,5.17957,0.77908,0.21178,3.67879,0.78618,0.09677,8.12423,0.77669,0.10579,7.3418,0.78257,0.10458,7.48306
3s_no,Random Forest,SMOTETomek,0.73707,0.08298,8.88224,0.74253,0.1356,5.47608,0.77965,0.0827,9.42751,0.77102,0.07934,9.71843,0.77878,0.08336,9.34189
3s_no,XGBoost,SMOTETomek,0.73121,0.09549,7.65762,0.75021,0.13186,5.68964,0.77187,0.0884,8.73173,0.7627,0.08815,8.6519,0.77141,0.08916,8.65227
2s_no,XGBoost,TomekLinks,0.72818,0.10491,6.94115,0.7512,0.14443,5.20112,0.77821,0.07983,9.74864,0.76797,0.08444,9.09504,0.77811,0.08113,9.59109
5s_0.5,Random Forest,TomekLinks,0.7266,0.11774,6.17103,0.75914,0.18261,4.15722,0.77313,0.09196,8.40746,0.764,0.09514,8.03022,0.77205,0.09591,8.04928
2s_no,XGBoost,SMOTETomek,0.72513,0.09384,7.72722,0.73965,0.12732,5.80923,0.77597,0.07798,9.95125,0.76611,0.07967,9.61612,0.77597,0.07914,9.80487
4s_0.5,XGBoost,SMOTETomek,0.72424,0.11968,6.05136,0.74221,0.1487,4.99121,0.77192,0.09165,8.42263,0.76213,0.09592,7.9452,0.77238,0.09262,8.33894
5s_no,XGBoost,SMOTE,0.72418,0.11741,6.16803,0.74373,0.18515,4.017,0.77381,0.0828,9.3454,0.76416,0.08874,8.61145,0.77081,0.08892,8.66819
2s_no,XGBoost,Baseline (none),0.72404,0.10478,6.9103,0.72449,0.12709,5.7006,0.77956,0.08276,9.41905,0.768,0.08666,8.86216,0.77905,0.08345,9.33499
5s_0.5,XGBoost,SMOTE,0.72241,0.09167,7.88012,0.71473,0.13174,5.42521,0.77738,0.07124,10.91234,0.76437,0.07257,10.53272,0.77553,0.07174,10.81043
4s_0.8,XGBoost,SMOTETomek,0.71945,0.10744,6.69622,0.72612,0.14405,5.04074,0.76075,0.09073,8.38475,0.75238,0.09204,8.17407,0.75943,0.09182,8.27053
