Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_no,XGBoost,TomekLinks,0.73638,0.09174,8.02723,0.75589,0.09958,7.59079,0.77729,0.07168,10.84421,0.77103,0.07496,10.28608,0.77842,0.07087,10.98316
5s_0.8,XGBoost,SMOTETomek,0.73607,0.0652,11.28951,0.75805,0.14058,5.3922,0.77014,0.05015,15.35764,0.76575,0.05214,14.68553,0.77041,0.05202,14.80982
5s_0.5,XGBoost,SMOTETomek,0.73267,0.08044,9.10836,0.74874,0.10692,7.00291,0.77713,0.05496,14.13926,0.76979,0.05945,12.94784,0.77742,0.05555,13.99466
3s_no,Random Forest,Baseline (none),0.73145,0.09084,8.05209,0.71697,0.10832,6.61887,0.78677,0.05481,14.35496,0.77599,0.06329,12.26111,0.78575,0.05587,14.06439
3s_no,Random Forest,SMOTE,0.73118,0.09699,7.53841,0.73281,0.11631,6.30033,0.78156,0.06247,12.51156,0.77202,0.07001,11.02699,0.78134,0.0629,12.42168
3s_no,XGBoost,SMOTETomek,0.73025,0.10175,7.17695,0.75383,0.11439,6.59016,0.77226,0.076,10.16073,0.76543,0.0807,9.48475,0.77335,0.07552,10.2407
3s_0.5,XGBoost,SMOTE,0.72925,0.0457,15.95882,0.73715,0.10173,7.24625,0.7747,0.03451,22.45099,0.76802,0.03636,21.12232,0.77495,0.03314,23.38335
3s_no,Random Forest,TomekLinks,0.72766,0.10113,7.19498,0.745,0.1115,6.68134,0.77435,0.06271,12.34825,0.76626,0.07147,10.72185,0.77523,0.0623,12.44358
5s_0.8,XGBoost,TomekLinks,0.72758,0.06234,11.67147,0.75137,0.15102,4.97535,0.76308,0.04502,16.94955,0.75841,0.04741,15.9954,0.76285,0.04833,15.78369
3s_0.5,Random Forest,SMOTETomek,0.72551,0.03885,18.67594,0.73761,0.08764,8.41643,0.7705,0.02358,32.67581,0.76301,0.02472,30.86192,0.77082,0.02626,29.35009
5s_0.5,XGBoost,SMOTE,0.72457,0.08264,8.76749,0.71917,0.095,7.5706,0.77672,0.0538,14.43771,0.76785,0.05979,12.84245,0.77647,0.0546,14.22126
5s_0.5,Random Forest,SMOTE,0.72442,0.0706,10.26103,0.74884,0.13965,5.36226,0.77033,0.03185,24.18504,0.76152,0.04018,18.95354,0.76964,0.03409,22.57854
