Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
5s_no,XGBoost,SMOTETomek,0.7411,0.24087,3.0767,0.8369,0.26191,3.19534,0.78496,0.19014,4.12822,0.76713,0.19739,3.88637,0.78434,0.20388,3.84697
5s_0.5,XGBoost,SMOTETomek,0.7299,0.23605,3.09212,0.79223,0.25519,3.10449,0.78709,0.16138,4.87732,0.75535,0.18365,4.11301,0.78595,0.17872,4.39762
5s_no,Random Forest,TomekLinks,0.72638,0.22435,3.23767,0.84107,0.2416,3.4813,0.76361,0.18704,4.08256,0.74316,0.19383,3.83398,0.76245,0.20187,3.777
5s_no,XGBoost,Baseline (none),0.72124,0.22808,3.16221,0.78058,0.25968,3.00591,0.77179,0.18246,4.22986,0.7527,0.18792,4.00533,0.77176,0.19759,3.90595
3s_no,XGBoost,TomekLinks,0.72079,0.22177,3.25008,0.77592,0.24871,3.11976,0.76257,0.1604,4.75423,0.73994,0.17184,4.3061,0.76206,0.16714,4.55938
5s_0.8,XGBoost,SMOTETomek,0.71932,0.21056,3.41632,0.77431,0.23115,3.34984,0.75437,0.16721,4.51158,0.72164,0.17673,4.08336,0.7546,0.17523,4.30646
5s_0.5,XGBoost,TomekLinks,0.71392,0.23669,3.01631,0.7653,0.27128,2.82105,0.76589,0.16572,4.62169,0.73461,0.1863,3.9431,0.76704,0.16996,4.51317
5s_no,Random Forest,SMOTETomek,0.71352,0.24569,2.90411,0.82098,0.27965,2.93571,0.76324,0.19142,3.98719,0.74372,0.20093,3.7014,0.76152,0.2057,3.70217
3s_no,Random Forest,TomekLinks,0.71208,0.20899,3.40726,0.78286,0.26831,2.9178,0.76319,0.15972,4.77843,0.74001,0.16626,4.45083,0.75995,0.17266,4.40146
3s_0.5,XGBoost,SMOTETomek,0.71145,0.22933,3.10232,0.75234,0.25951,2.89914,0.77423,0.1488,5.2032,0.74177,0.16682,4.44655,0.77218,0.15806,4.88546
