Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
1s_no,Decision Tree,Baseline (none),0.47537,0.07788,6.10413,0.49075,0.07925,6.19283,0.59426,0.05665,10.49038,0.56398,0.03578,15.76335,0.59972,0.06603,9.08264
1s_no,Decision Tree,SMOTE,0.48098,0.06601,7.28625,0.51553,0.09311,5.53646,0.58494,0.06506,8.99083,0.56021,0.04577,12.23837,0.59184,0.07519,7.87131
1s_no,Decision Tree,TomekLinks,0.53868,0.07341,7.33821,0.59503,0.06994,8.50749,0.61928,0.05365,11.54249,0.59891,0.03949,15.16547,0.62723,0.06036,10.39073
1s_no,Decision Tree,SMOTETomek,0.4928,0.09363,5.26308,0.53476,0.13951,3.83312,0.59469,0.06665,8.92225,0.56871,0.05433,10.46763,0.60044,0.07584,7.91715
1s_0.5,Decision Tree,Baseline (none),0.52683,0.06393,8.24048,0.54209,0.1055,5.13816,0.62158,0.07571,8.20977,0.60216,0.06428,9.36697,0.62359,0.08034,7.76234
1s_0.5,Decision Tree,SMOTE,0.54099,0.08075,6.69972,0.56568,0.13687,4.13299,0.63013,0.08372,7.5266,0.61115,0.07529,8.11703,0.63166,0.08892,7.10342
1s_0.5,Decision Tree,TomekLinks,0.5514,0.07408,7.44313,0.58535,0.14006,4.17924,0.63269,0.08572,7.38054,0.61538,0.07549,8.15165,0.63453,0.08914,7.11811
1s_0.5,Decision Tree,SMOTETomek,0.53664,0.08108,6.61842,0.56402,0.13391,4.21185,0.62482,0.0853,7.32457,0.60603,0.07609,7.96509,0.62667,0.08969,6.98704
1s_0.8,Decision Tree,Baseline (none),0.49439,0.08288,5.96482,0.49591,0.08447,5.87074,0.61289,0.05776,10.61102,0.58266,0.03832,15.20607,0.61347,0.0675,9.08883
1s_0.8,Decision Tree,SMOTE,0.50301,0.09682,5.19539,0.51245,0.09804,5.22708,0.6125,0.07222,8.48157,0.58321,0.05312,10.97994,0.6142,0.07867,7.8071
1s_0.8,Decision Tree,TomekLinks,0.50465,0.1014,4.97683,0.51698,0.1124,4.59966,0.61618,0.05689,10.83026,0.5875,0.04739,12.39716,0.61782,0.06718,9.19626
1s_0.8,Decision Tree,SMOTETomek,0.50269,0.08384,5.99602,0.50334,0.08168,6.16202,0.61929,0.05696,10.87164,0.58886,0.03574,16.47656,0.6202,0.06501,9.54014
2s_no,Decision Tree,Baseline (none),0.52537,0.12075,4.35076,0.5434,0.153,3.55165,0.63316,0.08642,7.32617,0.60699,0.08216,7.38819,0.6325,0.09483,6.66987
2s_no,Decision Tree,SMOTE,0.53653,0.09753,5.50115,0.55855,0.09622,5.80501,0.63279,0.06996,9.04483,0.61038,0.06678,9.14006,0.63596,0.0752,8.45657
2s_no,Decision Tree,TomekLinks,0.5236,0.11357,4.61027,0.56053,0.16417,3.41423,0.61418,0.0945,6.4989,0.59307,0.08735,6.78967,0.61555,0.09863,6.24102
2s_no,Decision Tree,SMOTETomek,0.52619,0.11417,4.60898,0.54447,0.1096,4.96797,0.62627,0.07925,7.9021,0.60147,0.07609,7.90473,0.62929,0.0844,7.45605
2s_0.5,Decision Tree,Baseline (none),0.51538,0.09151,5.6317,0.53229,0.14023,3.79595,0.62405,0.08173,7.63555,0.59686,0.0669,8.92192,0.62586,0.08739,7.16195
2s_0.5,Decision Tree,SMOTE,0.54286,0.07948,6.82982,0.57425,0.10325,5.56182,0.63274,0.07802,8.10972,0.61046,0.06581,9.27569,0.6372,0.08251,7.72307
