Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_no,Random Forest,SMOTETomek,0.65463,0.11035,5.9325,0.65931,0.15173,4.34519,0.71523,0.11371,6.28968,0.70145,0.1097,6.39423,0.71559,0.11536,6.20293
3s_no,Random Forest,TomekLinks,0.64932,0.11494,5.64917,0.67013,0.13822,4.84817,0.70601,0.11424,6.18028,0.69292,0.11097,6.244,0.70883,0.11512,6.15754
5s_no,Random Forest,SMOTETomek,0.646,0.14493,4.4572,0.69436,0.2126,3.26609,0.70813,0.11867,5.9671,0.68961,0.11829,5.82965,0.70849,0.12022,5.89318
5s_0.5,Random Forest,SMOTETomek,0.63674,0.07456,8.53973,0.63052,0.09716,6.48937,0.70222,0.09468,7.41667,0.68157,0.08906,7.6529,0.70433,0.0931,7.56548
2s_0.5,Random Forest,TomekLinks,0.63299,0.0912,6.94092,0.61569,0.08527,7.22064,0.71519,0.07346,9.73578,0.69362,0.07338,9.4518,0.71571,0.0707,10.12343
2s_no,Random Forest,SMOTETomek,0.63199,0.13784,4.5848,0.61076,0.17182,3.55473,0.72292,0.10176,7.10431,0.69884,0.10553,6.62217,0.71873,0.10536,6.82144
5s_0.5,Random Forest,Baseline (none),0.63159,0.10145,6.22542,0.60523,0.15852,3.81796,0.71965,0.08321,8.64864,0.69398,0.08331,8.32974,0.71614,0.08752,8.18269
5s_0.5,Random Forest,SMOTE,0.63011,0.07179,8.77692,0.62665,0.1107,5.66067,0.70283,0.07661,9.17359,0.68105,0.0724,9.40701,0.70443,0.07671,9.18351
2s_no,Random Forest,SMOTE,0.62649,0.16378,3.82523,0.6129,0.20327,3.01526,0.7186,0.11646,6.17029,0.69391,0.12396,5.5977,0.71394,0.12063,5.9185
4s_no,Random Forest,TomekLinks,0.6264,0.15524,4.03496,0.65119,0.24796,2.62626,0.71013,0.10779,6.58824,0.68762,0.11611,5.92212,0.70438,0.1148,6.13593
4s_no,Random Forest,SMOTE,0.62414,0.15153,4.11877,0.65713,0.23411,2.80697,0.69837,0.12086,5.77855,0.68077,0.12387,5.49566,0.69454,0.12796,5.42763
5s_0.5,Random Forest,TomekLinks,0.6237,0.08577,7.2718,0.62245,0.12459,4.99593,0.69784,0.08046,8.67259,0.67534,0.07833,8.62216,0.69904,0.07916,8.83121
2s_no,Random Forest,TomekLinks,0.62346,0.16331,3.81757,0.61357,0.20672,2.9681,0.71365,0.12067,5.91384,0.68977,0.12613,5.46894,0.70949,0.12396,5.72371
2s_0.5,Random Forest,SMOTETomek,0.62331,0.08283,7.5248,0.59703,0.08233,7.25154,0.71307,0.06098,11.69387,0.68979,0.06102,11.30514,0.71244,0.05899,12.07681
3s_no,XGBoost,SMOTETomek,0.62328,0.10963,5.68519,0.6561,0.19119,3.43157,0.68634,0.10997,6.24091,0.67239,0.10719,6.27306,0.68618,0.11342,6.04993
5s_no,Random Forest,Baseline (none),0.62296,0.13103,4.75436,0.62571,0.19718,3.17333,0.70606,0.11418,6.18371,0.68475,0.11014,6.21703,0.70421,0.11671,6.034
4s_0.5,Random Forest,SMOTETomek,0.62244,0.18393,3.38418,0.59604,0.20447,2.91506,0.71432,0.1162,6.14741,0.68927,0.13176,5.23122,0.71043,0.12104,5.86934
5s_no,XGBoost,SMOTETomek,0.61992,0.12303,5.03871,0.68267,0.19237,3.54869,0.67965,0.10586,6.4203,0.66247,0.10234,6.47328,0.68146,0.10742,6.34387
5s_0.5,XGBoost,SMOTETomek,0.61933,0.08509,7.27828,0.63148,0.14881,4.24363,0.68912,0.0851,8.09744,0.66822,0.08146,8.20314,0.69198,0.08312,8.32507
3s_0.5,Random Forest,SMOTETomek,0.61849,0.12536,4.93381,0.60154,0.1669,3.60429,0.70075,0.09255,7.57131,0.67956,0.09648,7.04368,0.69701,0.09733,7.16137
4s_0.8,Random Forest,SMOTETomek,0.61825,0.08939,6.91619,0.58515,0.13199,4.43342,0.69721,0.08278,8.42207,0.67765,0.0794,8.53414,0.69421,0.08229,8.43591
4s_0.8,Random Forest,TomekLinks,0.61822,0.10238,6.0384,0.59274,0.13937,4.25314,0.69369,0.08733,7.94354,0.67621,0.08789,7.6936,0.69235,0.08756,7.90676
