Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_no,Random Forest,TomekLinks,0.66853,0.10173,6.57165,0.69779,0.18141,3.84651,0.72697,0.05976,12.16401,0.71576,0.06835,10.4724,0.72297,0.06891,10.49185
5s_no,XGBoost,Baseline (none),0.66097,0.14266,4.63318,0.64242,0.20494,3.13472,0.746,0.06363,11.72436,0.72646,0.08765,8.28829,0.73716,0.07894,9.33793
5s_no,Random Forest,SMOTETomek,0.6596,0.09286,7.10298,0.66729,0.11698,5.70422,0.71355,0.07373,9.67792,0.7054,0.07622,9.25534,0.71294,0.07249,9.83435
5s_no,Random Forest,SMOTE,0.65299,0.0897,7.27938,0.66344,0.13688,4.84688,0.71074,0.06313,11.25859,0.70175,0.06803,10.31576,0.70947,0.06414,11.06097
5s_no,Random Forest,TomekLinks,0.65053,0.11536,5.63929,0.67076,0.1775,3.77896,0.70732,0.08378,8.44261,0.69835,0.08908,7.83961,0.70562,0.08377,8.42286
4s_no,Random Forest,TomekLinks,0.6481,0.08129,7.97309,0.64103,0.15421,4.15685,0.71694,0.06176,11.60795,0.70474,0.0643,10.96002,0.71369,0.06189,11.53126
4s_no,Random Forest,SMOTETomek,0.64712,0.11026,5.86888,0.65095,0.16819,3.87024,0.7139,0.07818,9.13159,0.70294,0.08458,8.31071,0.71194,0.08088,8.80239
5s_no,XGBoost,TomekLinks,0.63904,0.1568,4.07546,0.70662,0.21934,3.22161,0.68454,0.10313,6.63783,0.67777,0.11372,5.9598,0.68398,0.1061,6.44683
5s_no,XGBoost,SMOTE,0.63625,0.13467,4.72452,0.63442,0.18998,3.33936,0.71329,0.07349,9.70629,0.69839,0.0896,7.79472,0.70851,0.08198,8.64211
5s_no,Random Forest,Baseline (none),0.63532,0.08669,7.32878,0.59916,0.16904,3.54449,0.72732,0.03007,24.18366,0.70697,0.04687,15.08421,0.71815,0.04066,17.66444
4s_no,Random Forest,SMOTE,0.63431,0.09032,7.02324,0.62402,0.1546,4.03627,0.70944,0.05927,11.96935,0.69616,0.06589,10.56546,0.70596,0.06233,11.32538
2s_no,Random Forest,TomekLinks,0.63365,0.01403,45.1586,0.61323,0.09411,6.5161,0.71494,0.03372,21.2034,0.6991,0.02653,26.3507,0.71208,0.03018,23.59729
3s_no,Random Forest,SMOTETomek,0.63239,0.12472,5.0706,0.62227,0.19545,3.18373,0.72056,0.05771,12.485,0.70091,0.07586,9.23932,0.71259,0.06993,10.1896
2s_0.5,Random Forest,SMOTETomek,0.63145,0.09626,6.5595,0.62108,0.14977,4.14694,0.70816,0.09321,7.59751,0.69377,0.0902,7.69122,0.70471,0.09911,7.11071
2s_0.5,Random Forest,SMOTE,0.62424,0.07804,7.99885,0.59772,0.12293,4.86215,0.70865,0.08033,8.82206,0.69218,0.07594,9.11533,0.70441,0.08618,8.17384
2s_0.5,Random Forest,TomekLinks,0.6242,0.08613,7.24751,0.61285,0.14429,4.24725,0.70363,0.08349,8.42746,0.68895,0.08093,8.51276,0.69993,0.09016,7.76357
1s_0.5,Random Forest,TomekLinks,0.62349,0.07767,8.02711,0.58892,0.12128,4.85601,0.71577,0.06164,11.61253,0.69428,0.05747,12.0799,0.70939,0.0656,10.81379
2s_0.5,XGBoost,TomekLinks,0.6219,0.09902,6.28045,0.63032,0.159,3.96431,0.69518,0.08845,7.85979,0.68284,0.08861,7.70586,0.69287,0.09607,7.21242
5s_no,XGBoost,SMOTETomek,0.62153,0.10444,5.95127,0.64215,0.16685,3.84877,0.68362,0.0667,10.24984,0.67305,0.074,9.09471,0.68082,0.068,10.01275
4s_no,XGBoost,SMOTE,0.62115,0.06919,8.97738,0.59981,0.10575,5.67179,0.69856,0.05477,12.75377,0.68472,0.0567,12.07652,0.69512,0.05604,12.40309
3s_no,XGBoost,TomekLinks,0.61929,0.12283,5.04169,0.65068,0.20428,3.1852,0.69274,0.05622,12.32209,0.67713,0.07218,9.38158,0.68582,0.07185,9.54538
4s_0.8,Random Forest,TomekLinks,0.61755,0.05459,11.31303,0.56263,0.08578,6.5593,0.69906,0.06857,10.19458,0.68315,0.06049,11.29399,0.69325,0.07072,9.80281
5s_0.8,Random Forest,SMOTETomek,0.61729,0.06083,10.1474,0.56823,0.08053,7.05586,0.6914,0.07254,9.53095,0.67824,0.06598,10.27921,0.68702,0.07305,9.40517
3s_no,Random Forest,SMOTE,0.61669,0.13271,4.64674,0.6056,0.20841,2.90578,0.71196,0.06007,11.85288,0.68947,0.07919,8.70689,0.70223,0.07377,9.51962
4s_no,Random Forest,Baseline (none),0.61637,0.08738,7.05357,0.56516,0.14228,3.97225,0.71477,0.05822,12.27641,0.69454,0.06505,10.67629,0.70667,0.06338,11.14975
2s_no,XGBoost,SMOTETomek,0.61608,0.05432,11.34149,0.59875,0.09877,6.06238,0.70111,0.04619,15.17791,0.68403,0.04553,15.02493,0.69806,0.04688,14.88945
3s_no,XGBoost,Baseline (none),0.61596,0.12967,4.75016,0.61588,0.19959,3.08566,0.70329,0.06623,10.61964,0.68425,0.08211,8.3329,0.69537,0.07929,8.77006
5s_no,Decision Tree,SMOTE,0.61564,0.05898,10.43796,0.63489,0.08484,7.48349,0.66902,0.05579,11.99241,0.6619,0.05525,11.97946,0.66888,0.0536,12.47991
2s_0.8,Random Forest,TomekLinks,0.61524,0.08713,7.06122,0.59577,0.13575,4.38859,0.694,0.08655,8.0188,0.67722,0.08186,8.27314,0.68858,0.09302,7.40255
3s_0.5,Random Forest,Baseline (none),0.61438,0.07715,7.9636,0.54707,0.1243,4.40115,0.71625,0.06991,10.24478,0.6929,0.06542,10.59116,0.70624,0.07532,9.377
3s_0.5,Random Forest,TomekLinks,0.614,0.08231,7.45986,0.57396,0.14242,4.02998,0.70712,0.06179,11.44332,0.68719,0.06232,11.02649,0.70006,0.06858,10.20766
2s_no,XGBoost,SMOTE,0.61368,0.02858,21.47463,0.60356,0.08076,7.47313,0.69372,0.04058,17.0933,0.67838,0.03476,19.51733,0.69171,0.03627,19.06937
3s_no,XGBoost,SMOTE,0.61361,0.09344,6.56674,0.61499,0.15962,3.85281,0.69375,0.04242,16.35568,0.67781,0.05495,12.3341,0.68796,0.05281,13.02668
3s_0.5,XGBoost,SMOTETomek,0.61353,0.07737,7.92946,0.6005,0.13641,4.40222,0.68828,0.06929,9.93376,0.67448,0.06723,10.032,0.68527,0.07403,9.25608
1s_no,Random Forest,TomekLinks,0.61276,0.0721,8.49861,0.61472,0.13475,4.56187,0.69166,0.07144,9.68119,0.67692,0.06764,10.00705,0.6888,0.07812,8.8167
5s_0.5,Random Forest,SMOTETomek,0.61142,0.08302,7.36435,0.5896,0.14749,3.99746,0.69546,0.04115,16.90108,0.67852,0.05039,13.46498,0.68842,0.04845,14.20936
5s_0.5,XGBoost,SMOTETomek,0.61065,0.04837,12.62462,0.59582,0.08283,7.19359,0.68285,0.0282,24.21374,0.67108,0.03246,20.6767,0.68029,0.03225,21.09471
5s_0.5,Random Forest,Baseline (none),0.6103,0.07297,8.36332,0.56629,0.13336,4.2465,0.70551,0.03015,23.3978,0.68471,0.04015,17.05422,0.69592,0.03932,17.69913
4s_0.8,Random Forest,SMOTETomek,0.6103,0.07469,8.17092,0.5548,0.1088,5.09906,0.6937,0.0824,8.41875,0.67739,0.07566,8.95328,0.68694,0.08513,8.06956
2s_no,XGBoost,TomekLinks,0.61019,0.06674,9.14209,0.60316,0.11925,5.05778,0.69461,0.04604,15.0858,0.67806,0.04868,13.92967,0.69153,0.04545,15.21504
2s_no,Random Forest,Baseline (none),0.60994,0.01072,56.89233,0.5521,0.08315,6.63948,0.71655,0.02824,25.37399,0.69244,0.01795,38.58234,0.70886,0.02388,29.67938
5s_0.5,Random Forest,SMOTE,0.60951,0.05083,11.9902,0.57708,0.10979,5.25631,0.69315,0.03595,19.27995,0.67693,0.03614,18.7321,0.68705,0.03725,18.44669
3s_0.5,Random Forest,SMOTE,0.60936,0.07243,8.41364,0.5618,0.12497,4.49555,0.70261,0.06804,10.32569,0.68193,0.06166,11.0597,0.69518,0.07194,9.66282
2s_0.8,Random Forest,SMOTETomek,0.6089,0.08172,7.45127,0.58228,0.12566,4.63362,0.69096,0.086,8.03425,0.67302,0.07983,8.4306,0.68493,0.09173,7.46638
5s_0.5,Random Forest,TomekLinks,0.60797,0.0758,8.02056,0.58938,0.14714,4.00553,0.69227,0.02542,27.23212,0.6753,0.03872,17.44169,0.68517,0.03598,19.04481
2s_no,Random Forest,SMOTE,0.60772,0.0332,18.30328,0.57643,0.0523,11.02055,0.69794,0.04521,15.43634,0.67924,0.03842,17.67879,0.69465,0.04104,16.92716
4s_0.8,XGBoost,SMOTETomek,0.60696,0.06872,8.83173,0.5793,0.10534,5.49956,0.67763,0.07702,8.79851,0.6658,0.07193,9.25636,0.67486,0.08035,8.39947
1s_0.5,Random Forest,SMOTETomek,0.60695,0.0648,9.36694,0.56343,0.10537,5.34708,0.70682,0.05785,12.21802,0.6831,0.04909,13.91504,0.69964,0.0599,11.68076
4s_0.5,Random Forest,SMOTETomek,0.6069,0.02054,29.5439,0.57847,0.10169,5.68859,0.69035,0.03151,21.90977,0.67502,0.02682,25.1684,0.68611,0.02946,23.28674
2s_0.8,Random Forest,SMOTE,0.60639,0.09408,6.44512,0.58659,0.13734,4.27094,0.68712,0.09199,7.46912,0.66946,0.08743,7.65679,0.68114,0.09916,6.86922
4s_0.8,Random Forest,SMOTE,0.60621,0.06784,8.93576,0.54551,0.08964,6.08553,0.6899,0.08526,8.0915,0.67312,0.07545,8.92132,0.68298,0.08604,7.9383
5s_0.8,Random Forest,SMOTE,0.60614,0.07028,8.62519,0.55276,0.07197,7.6807,0.68449,0.07757,8.82356,0.66996,0.07111,9.42124,0.67987,0.07769,8.75076
2s_no,Random Forest,SMOTETomek,0.60602,0.04242,14.28453,0.57553,0.05978,9.62707,0.69733,0.04436,15.72115,0.67766,0.03899,17.37947,0.69365,0.04014,17.27945
5s_0.5,XGBoost,TomekLinks,0.60592,0.06386,9.48884,0.61482,0.09803,6.27149,0.66552,0.05133,12.965,0.65727,0.05279,12.44957,0.66498,0.05281,12.59312
4s_0.8,XGBoost,SMOTE,0.60515,0.06079,9.95528,0.57664,0.1196,4.82119,0.67815,0.07149,9.48652,0.6659,0.06659,10.00039,0.67468,0.07485,9.01349
1s_0.5,Random Forest,SMOTE,0.60452,0.06358,9.50807,0.55992,0.1015,5.51632,0.70591,0.05606,12.59289,0.68173,0.04694,14.52475,0.69889,0.0575,12.15464
5s_0.8,Random Forest,TomekLinks,0.60425,0.0518,11.66568,0.55832,0.06895,8.09756,0.68134,0.06479,10.51682,0.6673,0.05782,11.54091,0.67711,0.06516,10.39101
4s_0.8,Random Forest,Baseline (none),0.5993,0.06036,9.92906,0.5288,0.09681,5.46239,0.69655,0.0675,10.31879,0.67585,0.05986,11.29033,0.6872,0.07093,9.68896
4s_0.5,Random Forest,TomekLinks,0.59896,0.03143,19.05452,0.57744,0.10325,5.5927,0.67946,0.045,15.10021,0.66538,0.04005,16.61347,0.67573,0.04054,16.66754
5s_no,Decision Tree,SMOTETomek,0.59862,0.11498,5.20622,0.61868,0.08249,7.49995,0.64894,0.10155,6.39017,0.64272,0.10295,6.24333,0.65049,0.09883,6.58208
2s_0.5,Random Forest,Baseline (none),0.59836,0.08883,6.73596,0.55074,0.13371,4.11901,0.70356,0.0826,8.51736,0.68087,0.08019,8.49025,0.69507,0.09134,7.60939
5s_0.8,XGBoost,TomekLinks,0.59722,0.06277,9.51408,0.56566,0.10769,5.25272,0.66985,0.07122,9.40546,0.6576,0.06604,9.95811,0.66632,0.07397,9.00805
5s_0.5,XGBoost,SMOTE,0.59691,0.02971,20.09462,0.5815,0.07548,7.70396,0.67117,0.02348,28.58796,0.65908,0.02255,29.23194,0.66837,0.02347,28.47247
1s_no,Random Forest,Baseline (none),0.59631,0.09415,6.33393,0.55973,0.13941,4.01493,0.69926,0.08464,8.26153,0.67727,0.08271,8.18851,0.6916,0.09392,7.36369
4s_no,XGBoost,TomekLinks,0.59585,0.09439,6.31237,0.58619,0.16733,3.5031,0.67968,0.06797,10.00023,0.66401,0.07224,9.19171,0.67486,0.06984,9.66241
3s_0.8,Random Forest,SMOTE,0.595,0.07694,7.73282,0.54272,0.10147,5.34861,0.69124,0.07148,9.67048,0.67007,0.0655,10.23068,0.68391,0.07266,9.41259
3s_0.5,XGBoost,TomekLinks,0.59461,0.05479,10.85338,0.59754,0.1199,4.98364,0.66493,0.05413,12.28376,0.6537,0.05163,12.66088,0.66402,0.05959,11.14342
1s_0.5,XGBoost,TomekLinks,0.5937,0.064,9.27607,0.55866,0.08993,6.21191,0.6904,0.06229,11.08376,0.66894,0.05353,12.49708,0.68522,0.06456,10.61325
1s_no,Random Forest,SMOTE,0.59315,0.06536,9.07584,0.57931,0.12235,4.73497,0.684,0.06816,10.03563,0.66611,0.06307,10.5622,0.68008,0.07456,9.12152
3s_no,Decision Tree,SMOTETomek,0.59248,0.05714,10.36812,0.60118,0.1004,5.98753,0.66168,0.03519,18.80186,0.64872,0.03416,18.98925,0.65997,0.03479,18.96988
4s_0.5,XGBoost,Baseline (none),0.59158,0.04209,14.05559,0.5617,0.07228,7.77124,0.67796,0.03456,19.61564,0.66256,0.03499,18.93454,0.67497,0.03435,19.6512
3s_no,Random Forest,Baseline (none),0.59098,0.16101,3.67044,0.55863,0.22407,2.49309,0.71199,0.07013,10.15255,0.68074,0.09611,7.08291,0.69626,0.09033,7.70823
2s_0.5,XGBoost,SMOTETomek,0.59017,0.07965,7.40958,0.57306,0.11771,4.86844,0.67955,0.07915,8.58512,0.66263,0.07572,8.75103,0.67584,0.0859,7.86756
1s_no,XGBoost,SMOTE,0.59003,0.06281,9.39401,0.58099,0.10221,5.68408,0.67373,0.07638,8.82079,0.65833,0.06946,9.47848,0.67206,0.0799,8.41124
1s_no,Random Forest,SMOTETomek,0.58964,0.07759,7.59983,0.58033,0.12971,4.47411,0.67816,0.07965,8.51389,0.66119,0.07499,8.8167,0.67462,0.08572,7.87
2s_0.5,XGBoost,SMOTE,0.5895,0.06515,9.04887,0.57355,0.11727,4.89064,0.68064,0.06349,10.72024,0.6635,0.06114,10.85252,0.67674,0.0717,9.43897
2s_0.8,Random Forest,Baseline (none),0.58892,0.08104,7.26668,0.54355,0.12242,4.44004,0.68929,0.0777,8.87138,0.66653,0.07193,9.26662,0.68071,0.08484,8.0239
1s_0.5,XGBoost,SMOTETomek,0.58881,0.05948,9.89938,0.55666,0.09851,5.65082,0.68826,0.0516,13.33921,0.66572,0.04346,15.31958,0.68241,0.05527,12.34653
5s_0.8,XGBoost,Baseline (none),0.58862,0.06475,9.09134,0.54338,0.10039,5.41255,0.66879,0.07742,8.63818,0.65418,0.0702,9.31823,0.66351,0.07992,8.30258
4s_no,XGBoost,Baseline (none),0.58862,0.07406,7.9474,0.54399,0.11217,4.84983,0.68897,0.04911,14.02808,0.66863,0.0543,12.31392,0.68172,0.05195,13.12195
5s_0.5,XGBoost,Baseline (none),0.58862,0.0535,11.00137,0.54881,0.07866,6.97694,0.67745,0.0473,14.32332,0.66105,0.04643,14.23838,0.67214,0.04859,13.83396
3s_0.5,Random Forest,SMOTETomek,0.58782,0.07354,7.99273,0.5534,0.12607,4.38969,0.68211,0.06331,10.77343,0.66201,0.05934,11.15564,0.67594,0.06785,9.96294
3s_0.8,Random Forest,Baseline (none),0.58621,0.10669,5.49455,0.52656,0.13716,3.83908,0.69368,0.08047,8.61986,0.66875,0.08112,8.24365,0.68231,0.0871,7.8334
3s_no,XGBoost,SMOTETomek,0.58315,0.12225,4.77022,0.60281,0.194,3.10726,0.66793,0.05564,12.00455,0.64994,0.07229,8.99102,0.65943,0.07201,9.15784
